GENE	symbol	PATHWAY	NAME
155066	ATP6V0E2	hsa00190	Oxidative phosphorylation
155066	ATP6V0E2	hsa01100	Metabolic pathways
155066	ATP6V0E2	hsa04145	Phagosome
155066	ATP6V0E2	hsa04721	Synaptic vesicle cycle
155066	ATP6V0E2	hsa04966	Collecting duct acid secretion
155066	ATP6V0E2	hsa05110	Vibrio cholerae infection
155066	ATP6V0E2	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
155066	ATP6V0E2	hsa05165	Human papillomavirus infection
155066	ATP6V0E2	hsa05323	Rheumatoid arthritis
170712	COX7B2	hsa00190	Oxidative phosphorylation
170712	COX7B2	hsa01100	Metabolic pathways
170712	COX7B2	hsa04260	Cardiac muscle contraction
170712	COX7B2	hsa04714	Thermogenesis
170712	COX7B2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
170712	COX7B2	hsa05010	Alzheimer disease
170712	COX7B2	hsa05012	Parkinson disease
170712	COX7B2	hsa05016	Huntington disease
23545	ATP6V0A2	hsa00190	Oxidative phosphorylation
23545	ATP6V0A2	hsa01100	Metabolic pathways
23545	ATP6V0A2	hsa04142	Lysosome
23545	ATP6V0A2	hsa04145	Phagosome
23545	ATP6V0A2	hsa04721	Synaptic vesicle cycle
23545	ATP6V0A2	hsa04966	Collecting duct acid secretion
23545	ATP6V0A2	hsa05110	Vibrio cholerae infection
23545	ATP6V0A2	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
23545	ATP6V0A2	hsa05152	Tuberculosis
23545	ATP6V0A2	hsa05165	Human papillomavirus infection
23545	ATP6V0A2	hsa05323	Rheumatoid arthritis
245972	ATP6V0D2	hsa00190	Oxidative phosphorylation
245972	ATP6V0D2	hsa01100	Metabolic pathways
245972	ATP6V0D2	hsa04142	Lysosome
245972	ATP6V0D2	hsa04145	Phagosome
245972	ATP6V0D2	hsa04721	Synaptic vesicle cycle
245972	ATP6V0D2	hsa04966	Collecting duct acid secretion
245972	ATP6V0D2	hsa05110	Vibrio cholerae infection
245972	ATP6V0D2	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
245972	ATP6V0D2	hsa05152	Tuberculosis
245972	ATP6V0D2	hsa05165	Human papillomavirus infection
245972	ATP6V0D2	hsa05203	Viral carcinogenesis
245972	ATP6V0D2	hsa05323	Rheumatoid arthritis
245973	ATP6V1C2	hsa00190	Oxidative phosphorylation
245973	ATP6V1C2	hsa01100	Metabolic pathways
245973	ATP6V1C2	hsa04145	Phagosome
245973	ATP6V1C2	hsa04150	mTOR signaling pathway
245973	ATP6V1C2	hsa04721	Synaptic vesicle cycle
245973	ATP6V1C2	hsa04966	Collecting duct acid secretion
245973	ATP6V1C2	hsa05110	Vibrio cholerae infection
245973	ATP6V1C2	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
245973	ATP6V1C2	hsa05165	Human papillomavirus infection
245973	ATP6V1C2	hsa05323	Rheumatoid arthritis
27068	PPA2	hsa00190	Oxidative phosphorylation
27089	UQCRQ	hsa00190	Oxidative phosphorylation
27089	UQCRQ	hsa01100	Metabolic pathways
27089	UQCRQ	hsa04260	Cardiac muscle contraction
27089	UQCRQ	hsa04714	Thermogenesis
27089	UQCRQ	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
27089	UQCRQ	hsa05010	Alzheimer disease
27089	UQCRQ	hsa05012	Parkinson disease
27089	UQCRQ	hsa05016	Huntington disease
29796	UQCR10	hsa00190	Oxidative phosphorylation
29796	UQCR10	hsa01100	Metabolic pathways
29796	UQCR10	hsa04260	Cardiac muscle contraction
29796	UQCR10	hsa04714	Thermogenesis
29796	UQCR10	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
29796	UQCR10	hsa05010	Alzheimer disease
29796	UQCR10	hsa05012	Parkinson disease
29796	UQCR10	hsa05016	Huntington disease
341947	COX8C	hsa00190	Oxidative phosphorylation
341947	COX8C	hsa01100	Metabolic pathways
341947	COX8C	hsa04260	Cardiac muscle contraction
341947	COX8C	hsa04714	Thermogenesis
341947	COX8C	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
341947	COX8C	hsa05010	Alzheimer disease
341947	COX8C	hsa05012	Parkinson disease
341947	COX8C	hsa05016	Huntington disease
374291	NDUFS7	hsa00190	Oxidative phosphorylation
374291	NDUFS7	hsa01100	Metabolic pathways
374291	NDUFS7	hsa04714	Thermogenesis
374291	NDUFS7	hsa04723	Retrograde endocannabinoid signaling
374291	NDUFS7	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
374291	NDUFS7	hsa05010	Alzheimer disease
374291	NDUFS7	hsa05012	Parkinson disease
374291	NDUFS7	hsa05016	Huntington disease
440567	UQCRHL	hsa00190	Oxidative phosphorylation
440567	UQCRHL	hsa01100	Metabolic pathways
440567	UQCRHL	hsa04260	Cardiac muscle contraction
440567	UQCRHL	hsa04714	Thermogenesis
440567	UQCRHL	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
440567	UQCRHL	hsa05010	Alzheimer disease
440567	UQCRHL	hsa05012	Parkinson disease
440567	UQCRHL	hsa05016	Huntington disease
4508	ATP6	hsa00190	Oxidative phosphorylation
4508	ATP6	hsa01100	Metabolic pathways
4508	ATP6	hsa04714	Thermogenesis
4508	ATP6	hsa05010	Alzheimer disease
4508	ATP6	hsa05012	Parkinson disease
4508	ATP6	hsa05016	Huntington disease
4509	ATP8	hsa00190	Oxidative phosphorylation
4509	ATP8	hsa01100	Metabolic pathways
4509	ATP8	hsa04714	Thermogenesis
4509	ATP8	hsa05010	Alzheimer disease
4509	ATP8	hsa05012	Parkinson disease
4509	ATP8	hsa05016	Huntington disease
4512	COX1	hsa00190	Oxidative phosphorylation
4512	COX1	hsa01100	Metabolic pathways
4512	COX1	hsa04260	Cardiac muscle contraction
4512	COX1	hsa04714	Thermogenesis
4512	COX1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4512	COX1	hsa05010	Alzheimer disease
4512	COX1	hsa05012	Parkinson disease
4512	COX1	hsa05016	Huntington disease
4513	COX2	hsa00190	Oxidative phosphorylation
4513	COX2	hsa01100	Metabolic pathways
4513	COX2	hsa04260	Cardiac muscle contraction
4513	COX2	hsa04714	Thermogenesis
4513	COX2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4513	COX2	hsa05010	Alzheimer disease
4513	COX2	hsa05012	Parkinson disease
4513	COX2	hsa05016	Huntington disease
4514	COX3	hsa00190	Oxidative phosphorylation
4514	COX3	hsa01100	Metabolic pathways
4514	COX3	hsa04260	Cardiac muscle contraction
4514	COX3	hsa04714	Thermogenesis
4514	COX3	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4514	COX3	hsa05010	Alzheimer disease
4514	COX3	hsa05012	Parkinson disease
4514	COX3	hsa05016	Huntington disease
4519	CYTB	hsa00190	Oxidative phosphorylation
4519	CYTB	hsa01100	Metabolic pathways
4519	CYTB	hsa04260	Cardiac muscle contraction
4519	CYTB	hsa04714	Thermogenesis
4519	CYTB	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4519	CYTB	hsa05010	Alzheimer disease
4519	CYTB	hsa05012	Parkinson disease
4519	CYTB	hsa05016	Huntington disease
4535	ND1	hsa00190	Oxidative phosphorylation
4535	ND1	hsa01100	Metabolic pathways
4535	ND1	hsa04714	Thermogenesis
4535	ND1	hsa04723	Retrograde endocannabinoid signaling
4535	ND1	hsa05012	Parkinson disease
4536	ND2	hsa00190	Oxidative phosphorylation
4536	ND2	hsa01100	Metabolic pathways
4536	ND2	hsa04714	Thermogenesis
4536	ND2	hsa04723	Retrograde endocannabinoid signaling
4536	ND2	hsa05012	Parkinson disease
4537	ND3	hsa00190	Oxidative phosphorylation
4537	ND3	hsa01100	Metabolic pathways
4537	ND3	hsa04714	Thermogenesis
4537	ND3	hsa04723	Retrograde endocannabinoid signaling
4537	ND3	hsa05012	Parkinson disease
4538	ND4	hsa00190	Oxidative phosphorylation
4538	ND4	hsa01100	Metabolic pathways
4538	ND4	hsa04714	Thermogenesis
4538	ND4	hsa04723	Retrograde endocannabinoid signaling
4538	ND4	hsa05012	Parkinson disease
4539	ND4L	hsa00190	Oxidative phosphorylation
4539	ND4L	hsa01100	Metabolic pathways
4539	ND4L	hsa04714	Thermogenesis
4539	ND4L	hsa04723	Retrograde endocannabinoid signaling
4539	ND4L	hsa05012	Parkinson disease
4540	ND5	hsa00190	Oxidative phosphorylation
4540	ND5	hsa01100	Metabolic pathways
4540	ND5	hsa04714	Thermogenesis
4540	ND5	hsa04723	Retrograde endocannabinoid signaling
4540	ND5	hsa05012	Parkinson disease
4541	ND6	hsa00190	Oxidative phosphorylation
4541	ND6	hsa01100	Metabolic pathways
4541	ND6	hsa04714	Thermogenesis
4541	ND6	hsa04723	Retrograde endocannabinoid signaling
4541	ND6	hsa05012	Parkinson disease
4694	NDUFA1	hsa00190	Oxidative phosphorylation
4694	NDUFA1	hsa01100	Metabolic pathways
4694	NDUFA1	hsa04714	Thermogenesis
4694	NDUFA1	hsa04723	Retrograde endocannabinoid signaling
4694	NDUFA1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4694	NDUFA1	hsa05010	Alzheimer disease
4694	NDUFA1	hsa05012	Parkinson disease
4694	NDUFA1	hsa05016	Huntington disease
4695	NDUFA2	hsa00190	Oxidative phosphorylation
4695	NDUFA2	hsa01100	Metabolic pathways
4695	NDUFA2	hsa04714	Thermogenesis
4695	NDUFA2	hsa04723	Retrograde endocannabinoid signaling
4695	NDUFA2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4695	NDUFA2	hsa05010	Alzheimer disease
4695	NDUFA2	hsa05012	Parkinson disease
4695	NDUFA2	hsa05016	Huntington disease
4696	NDUFA3	hsa00190	Oxidative phosphorylation
4696	NDUFA3	hsa01100	Metabolic pathways
4696	NDUFA3	hsa04714	Thermogenesis
4696	NDUFA3	hsa04723	Retrograde endocannabinoid signaling
4696	NDUFA3	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4696	NDUFA3	hsa05010	Alzheimer disease
4696	NDUFA3	hsa05012	Parkinson disease
4696	NDUFA3	hsa05016	Huntington disease
4697	NDUFA4	hsa00190	Oxidative phosphorylation
4697	NDUFA4	hsa01100	Metabolic pathways
4697	NDUFA4	hsa04714	Thermogenesis
4697	NDUFA4	hsa04723	Retrograde endocannabinoid signaling
4697	NDUFA4	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4697	NDUFA4	hsa05010	Alzheimer disease
4697	NDUFA4	hsa05012	Parkinson disease
4697	NDUFA4	hsa05016	Huntington disease
4698	NDUFA5	hsa00190	Oxidative phosphorylation
4698	NDUFA5	hsa01100	Metabolic pathways
4698	NDUFA5	hsa04714	Thermogenesis
4698	NDUFA5	hsa04723	Retrograde endocannabinoid signaling
4698	NDUFA5	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4698	NDUFA5	hsa05010	Alzheimer disease
4698	NDUFA5	hsa05012	Parkinson disease
4698	NDUFA5	hsa05016	Huntington disease
4700	NDUFA6	hsa00190	Oxidative phosphorylation
4700	NDUFA6	hsa01100	Metabolic pathways
4700	NDUFA6	hsa04714	Thermogenesis
4700	NDUFA6	hsa04723	Retrograde endocannabinoid signaling
4700	NDUFA6	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4700	NDUFA6	hsa05010	Alzheimer disease
4700	NDUFA6	hsa05012	Parkinson disease
4700	NDUFA6	hsa05016	Huntington disease
4701	NDUFA7	hsa00190	Oxidative phosphorylation
4701	NDUFA7	hsa01100	Metabolic pathways
4701	NDUFA7	hsa04714	Thermogenesis
4701	NDUFA7	hsa04723	Retrograde endocannabinoid signaling
4701	NDUFA7	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4701	NDUFA7	hsa05010	Alzheimer disease
4701	NDUFA7	hsa05012	Parkinson disease
4701	NDUFA7	hsa05016	Huntington disease
4702	NDUFA8	hsa00190	Oxidative phosphorylation
4702	NDUFA8	hsa01100	Metabolic pathways
4702	NDUFA8	hsa04714	Thermogenesis
4702	NDUFA8	hsa04723	Retrograde endocannabinoid signaling
4702	NDUFA8	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4702	NDUFA8	hsa05010	Alzheimer disease
4702	NDUFA8	hsa05012	Parkinson disease
4702	NDUFA8	hsa05016	Huntington disease
4704	NDUFA9	hsa00190	Oxidative phosphorylation
4704	NDUFA9	hsa01100	Metabolic pathways
4704	NDUFA9	hsa04714	Thermogenesis
4704	NDUFA9	hsa04723	Retrograde endocannabinoid signaling
4704	NDUFA9	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4704	NDUFA9	hsa05010	Alzheimer disease
4704	NDUFA9	hsa05012	Parkinson disease
4704	NDUFA9	hsa05016	Huntington disease
4705	NDUFA10	hsa00190	Oxidative phosphorylation
4705	NDUFA10	hsa01100	Metabolic pathways
4705	NDUFA10	hsa04714	Thermogenesis
4705	NDUFA10	hsa04723	Retrograde endocannabinoid signaling
4705	NDUFA10	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4705	NDUFA10	hsa05010	Alzheimer disease
4705	NDUFA10	hsa05012	Parkinson disease
4705	NDUFA10	hsa05016	Huntington disease
4706	NDUFAB1	hsa00190	Oxidative phosphorylation
4706	NDUFAB1	hsa01100	Metabolic pathways
4706	NDUFAB1	hsa04714	Thermogenesis
4706	NDUFAB1	hsa04723	Retrograde endocannabinoid signaling
4706	NDUFAB1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4706	NDUFAB1	hsa05010	Alzheimer disease
4706	NDUFAB1	hsa05012	Parkinson disease
4706	NDUFAB1	hsa05016	Huntington disease
4707	NDUFB1	hsa00190	Oxidative phosphorylation
4707	NDUFB1	hsa01100	Metabolic pathways
4707	NDUFB1	hsa04714	Thermogenesis
4707	NDUFB1	hsa04723	Retrograde endocannabinoid signaling
4707	NDUFB1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4707	NDUFB1	hsa05010	Alzheimer disease
4707	NDUFB1	hsa05012	Parkinson disease
4707	NDUFB1	hsa05016	Huntington disease
4708	NDUFB2	hsa00190	Oxidative phosphorylation
4708	NDUFB2	hsa01100	Metabolic pathways
4708	NDUFB2	hsa04714	Thermogenesis
4708	NDUFB2	hsa04723	Retrograde endocannabinoid signaling
4708	NDUFB2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4708	NDUFB2	hsa05010	Alzheimer disease
4708	NDUFB2	hsa05012	Parkinson disease
4708	NDUFB2	hsa05016	Huntington disease
4709	NDUFB3	hsa00190	Oxidative phosphorylation
4709	NDUFB3	hsa01100	Metabolic pathways
4709	NDUFB3	hsa04714	Thermogenesis
4709	NDUFB3	hsa04723	Retrograde endocannabinoid signaling
4709	NDUFB3	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4709	NDUFB3	hsa05010	Alzheimer disease
4709	NDUFB3	hsa05012	Parkinson disease
4709	NDUFB3	hsa05016	Huntington disease
4710	NDUFB4	hsa00190	Oxidative phosphorylation
4710	NDUFB4	hsa01100	Metabolic pathways
4710	NDUFB4	hsa04714	Thermogenesis
4710	NDUFB4	hsa04723	Retrograde endocannabinoid signaling
4710	NDUFB4	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4710	NDUFB4	hsa05010	Alzheimer disease
4710	NDUFB4	hsa05012	Parkinson disease
4710	NDUFB4	hsa05016	Huntington disease
4711	NDUFB5	hsa00190	Oxidative phosphorylation
4711	NDUFB5	hsa01100	Metabolic pathways
4711	NDUFB5	hsa04714	Thermogenesis
4711	NDUFB5	hsa04723	Retrograde endocannabinoid signaling
4711	NDUFB5	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4711	NDUFB5	hsa05010	Alzheimer disease
4711	NDUFB5	hsa05012	Parkinson disease
4711	NDUFB5	hsa05016	Huntington disease
4712	NDUFB6	hsa00190	Oxidative phosphorylation
4712	NDUFB6	hsa04714	Thermogenesis
4712	NDUFB6	hsa04723	Retrograde endocannabinoid signaling
4712	NDUFB6	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4712	NDUFB6	hsa05010	Alzheimer disease
4712	NDUFB6	hsa05012	Parkinson disease
4712	NDUFB6	hsa05016	Huntington disease
4713	NDUFB7	hsa00190	Oxidative phosphorylation
4713	NDUFB7	hsa01100	Metabolic pathways
4713	NDUFB7	hsa04714	Thermogenesis
4713	NDUFB7	hsa04723	Retrograde endocannabinoid signaling
4713	NDUFB7	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4713	NDUFB7	hsa05010	Alzheimer disease
4713	NDUFB7	hsa05012	Parkinson disease
4713	NDUFB7	hsa05016	Huntington disease
4714	NDUFB8	hsa00190	Oxidative phosphorylation
4714	NDUFB8	hsa01100	Metabolic pathways
4714	NDUFB8	hsa04714	Thermogenesis
4714	NDUFB8	hsa04723	Retrograde endocannabinoid signaling
4714	NDUFB8	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4714	NDUFB8	hsa05010	Alzheimer disease
4714	NDUFB8	hsa05012	Parkinson disease
4714	NDUFB8	hsa05016	Huntington disease
4715	NDUFB9	hsa00190	Oxidative phosphorylation
4715	NDUFB9	hsa01100	Metabolic pathways
4715	NDUFB9	hsa04714	Thermogenesis
4715	NDUFB9	hsa04723	Retrograde endocannabinoid signaling
4715	NDUFB9	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4715	NDUFB9	hsa05010	Alzheimer disease
4715	NDUFB9	hsa05012	Parkinson disease
4715	NDUFB9	hsa05016	Huntington disease
4716	NDUFB10	hsa00190	Oxidative phosphorylation
4716	NDUFB10	hsa01100	Metabolic pathways
4716	NDUFB10	hsa04714	Thermogenesis
4716	NDUFB10	hsa04723	Retrograde endocannabinoid signaling
4716	NDUFB10	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4716	NDUFB10	hsa05010	Alzheimer disease
4716	NDUFB10	hsa05012	Parkinson disease
4716	NDUFB10	hsa05016	Huntington disease
4717	NDUFC1	hsa00190	Oxidative phosphorylation
4717	NDUFC1	hsa01100	Metabolic pathways
4717	NDUFC1	hsa04714	Thermogenesis
4717	NDUFC1	hsa04723	Retrograde endocannabinoid signaling
4717	NDUFC1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4717	NDUFC1	hsa05010	Alzheimer disease
4717	NDUFC1	hsa05012	Parkinson disease
4717	NDUFC1	hsa05016	Huntington disease
4718	NDUFC2	hsa00190	Oxidative phosphorylation
4718	NDUFC2	hsa01100	Metabolic pathways
4718	NDUFC2	hsa04714	Thermogenesis
4718	NDUFC2	hsa04723	Retrograde endocannabinoid signaling
4718	NDUFC2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4718	NDUFC2	hsa05010	Alzheimer disease
4718	NDUFC2	hsa05012	Parkinson disease
4718	NDUFC2	hsa05016	Huntington disease
4719	NDUFS1	hsa00190	Oxidative phosphorylation
4719	NDUFS1	hsa01100	Metabolic pathways
4719	NDUFS1	hsa04714	Thermogenesis
4719	NDUFS1	hsa04723	Retrograde endocannabinoid signaling
4719	NDUFS1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4719	NDUFS1	hsa05010	Alzheimer disease
4719	NDUFS1	hsa05012	Parkinson disease
4719	NDUFS1	hsa05016	Huntington disease
4720	NDUFS2	hsa00190	Oxidative phosphorylation
4720	NDUFS2	hsa01100	Metabolic pathways
4720	NDUFS2	hsa04714	Thermogenesis
4720	NDUFS2	hsa04723	Retrograde endocannabinoid signaling
4720	NDUFS2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4720	NDUFS2	hsa05010	Alzheimer disease
4720	NDUFS2	hsa05012	Parkinson disease
4720	NDUFS2	hsa05016	Huntington disease
4722	NDUFS3	hsa00190	Oxidative phosphorylation
4722	NDUFS3	hsa01100	Metabolic pathways
4722	NDUFS3	hsa04714	Thermogenesis
4722	NDUFS3	hsa04723	Retrograde endocannabinoid signaling
4722	NDUFS3	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4722	NDUFS3	hsa05010	Alzheimer disease
4722	NDUFS3	hsa05012	Parkinson disease
4722	NDUFS3	hsa05016	Huntington disease
4723	NDUFV1	hsa00190	Oxidative phosphorylation
4723	NDUFV1	hsa01100	Metabolic pathways
4723	NDUFV1	hsa04714	Thermogenesis
4723	NDUFV1	hsa04723	Retrograde endocannabinoid signaling
4723	NDUFV1	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4723	NDUFV1	hsa05010	Alzheimer disease
4723	NDUFV1	hsa05012	Parkinson disease
4723	NDUFV1	hsa05016	Huntington disease
4724	NDUFS4	hsa00190	Oxidative phosphorylation
4724	NDUFS4	hsa01100	Metabolic pathways
4724	NDUFS4	hsa04714	Thermogenesis
4724	NDUFS4	hsa04723	Retrograde endocannabinoid signaling
4724	NDUFS4	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4724	NDUFS4	hsa05010	Alzheimer disease
4724	NDUFS4	hsa05012	Parkinson disease
4724	NDUFS4	hsa05016	Huntington disease
4725	NDUFS5	hsa00190	Oxidative phosphorylation
4725	NDUFS5	hsa01100	Metabolic pathways
4725	NDUFS5	hsa04714	Thermogenesis
4725	NDUFS5	hsa04723	Retrograde endocannabinoid signaling
4725	NDUFS5	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4725	NDUFS5	hsa05010	Alzheimer disease
4725	NDUFS5	hsa05012	Parkinson disease
4725	NDUFS5	hsa05016	Huntington disease
4726	NDUFS6	hsa00190	Oxidative phosphorylation
4726	NDUFS6	hsa01100	Metabolic pathways
4726	NDUFS6	hsa04714	Thermogenesis
4726	NDUFS6	hsa04723	Retrograde endocannabinoid signaling
4726	NDUFS6	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4726	NDUFS6	hsa05010	Alzheimer disease
4726	NDUFS6	hsa05012	Parkinson disease
4726	NDUFS6	hsa05016	Huntington disease
4728	NDUFS8	hsa00190	Oxidative phosphorylation
4728	NDUFS8	hsa01100	Metabolic pathways
4728	NDUFS8	hsa04714	Thermogenesis
4728	NDUFS8	hsa04723	Retrograde endocannabinoid signaling
4728	NDUFS8	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4728	NDUFS8	hsa05010	Alzheimer disease
4728	NDUFS8	hsa05012	Parkinson disease
4728	NDUFS8	hsa05016	Huntington disease
4729	NDUFV2	hsa00190	Oxidative phosphorylation
4729	NDUFV2	hsa01100	Metabolic pathways
4729	NDUFV2	hsa04714	Thermogenesis
4729	NDUFV2	hsa04723	Retrograde endocannabinoid signaling
4729	NDUFV2	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4729	NDUFV2	hsa05010	Alzheimer disease
4729	NDUFV2	hsa05012	Parkinson disease
4729	NDUFV2	hsa05016	Huntington disease
4731	NDUFV3	hsa00190	Oxidative phosphorylation
4731	NDUFV3	hsa01100	Metabolic pathways
4731	NDUFV3	hsa04714	Thermogenesis
4731	NDUFV3	hsa04723	Retrograde endocannabinoid signaling
4731	NDUFV3	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
4731	NDUFV3	hsa05010	Alzheimer disease
4731	NDUFV3	hsa05012	Parkinson disease
4731	NDUFV3	hsa05016	Huntington disease
479	ATP12A	hsa00190	Oxidative phosphorylation
479	ATP12A	hsa01100	Metabolic pathways
495	ATP4A	hsa00190	Oxidative phosphorylation
495	ATP4A	hsa01100	Metabolic pathways
495	ATP4A	hsa04966	Collecting duct acid secretion
495	ATP4A	hsa04971	Gastric acid secretion
496	ATP4B	hsa00190	Oxidative phosphorylation
496	ATP4B	hsa01100	Metabolic pathways
496	ATP4B	hsa04966	Collecting duct acid secretion
496	ATP4B	hsa04971	Gastric acid secretion
498	ATP5F1A	hsa00190	Oxidative phosphorylation
498	ATP5F1A	hsa01100	Metabolic pathways
498	ATP5F1A	hsa04714	Thermogenesis
498	ATP5F1A	hsa05010	Alzheimer disease
498	ATP5F1A	hsa05012	Parkinson disease
498	ATP5F1A	hsa05016	Huntington disease
506	ATP5F1B	hsa00190	Oxidative phosphorylation
506	ATP5F1B	hsa01100	Metabolic pathways
506	ATP5F1B	hsa04714	Thermogenesis
506	ATP5F1B	hsa05010	Alzheimer disease
506	ATP5F1B	hsa05012	Parkinson disease
506	ATP5F1B	hsa05016	Huntington disease
50617	ATP6V0A4	hsa00190	Oxidative phosphorylation
50617	ATP6V0A4	hsa01100	Metabolic pathways
50617	ATP6V0A4	hsa04142	Lysosome
50617	ATP6V0A4	hsa04145	Phagosome
50617	ATP6V0A4	hsa04721	Synaptic vesicle cycle
50617	ATP6V0A4	hsa04966	Collecting duct acid secretion
50617	ATP6V0A4	hsa05110	Vibrio cholerae infection
50617	ATP6V0A4	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
50617	ATP6V0A4	hsa05152	Tuberculosis
50617	ATP6V0A4	hsa05165	Human papillomavirus infection
50617	ATP6V0A4	hsa05323	Rheumatoid arthritis
509	ATP5F1C	hsa00190	Oxidative phosphorylation
509	ATP5F1C	hsa01100	Metabolic pathways
509	ATP5F1C	hsa04714	Thermogenesis
509	ATP5F1C	hsa05010	Alzheimer disease
509	ATP5F1C	hsa05012	Parkinson disease
509	ATP5F1C	hsa05016	Huntington disease
51079	NDUFA13	hsa00190	Oxidative phosphorylation
51079	NDUFA13	hsa01100	Metabolic pathways
51079	NDUFA13	hsa04714	Thermogenesis
51079	NDUFA13	hsa04723	Retrograde endocannabinoid signaling
51079	NDUFA13	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
51079	NDUFA13	hsa05010	Alzheimer disease
51079	NDUFA13	hsa05012	Parkinson disease
51079	NDUFA13	hsa05016	Huntington disease
513	ATP5F1D	hsa00190	Oxidative phosphorylation
513	ATP5F1D	hsa01100	Metabolic pathways
513	ATP5F1D	hsa04714	Thermogenesis
513	ATP5F1D	hsa05010	Alzheimer disease
513	ATP5F1D	hsa05012	Parkinson disease
513	ATP5F1D	hsa05016	Huntington disease
51382	ATP6V1D	hsa00190	Oxidative phosphorylation
51382	ATP6V1D	hsa01100	Metabolic pathways
51382	ATP6V1D	hsa04145	Phagosome
51382	ATP6V1D	hsa04150	mTOR signaling pathway
51382	ATP6V1D	hsa04721	Synaptic vesicle cycle
51382	ATP6V1D	hsa04966	Collecting duct acid secretion
51382	ATP6V1D	hsa05110	Vibrio cholerae infection
51382	ATP6V1D	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
51382	ATP6V1D	hsa05165	Human papillomavirus infection
51382	ATP6V1D	hsa05323	Rheumatoid arthritis
514	ATP5F1E	hsa00190	Oxidative phosphorylation
514	ATP5F1E	hsa01100	Metabolic pathways
514	ATP5F1E	hsa04714	Thermogenesis
514	ATP5F1E	hsa05010	Alzheimer disease
514	ATP5F1E	hsa05012	Parkinson disease
514	ATP5F1E	hsa05016	Huntington disease
515	ATP5PB	hsa00190	Oxidative phosphorylation
515	ATP5PB	hsa01100	Metabolic pathways
515	ATP5PB	hsa04714	Thermogenesis
515	ATP5PB	hsa05010	Alzheimer disease
515	ATP5PB	hsa05012	Parkinson disease
515	ATP5PB	hsa05016	Huntington disease
516	ATP5MC1	hsa00190	Oxidative phosphorylation
516	ATP5MC1	hsa01100	Metabolic pathways
516	ATP5MC1	hsa04714	Thermogenesis
516	ATP5MC1	hsa05010	Alzheimer disease
516	ATP5MC1	hsa05012	Parkinson disease
516	ATP5MC1	hsa05016	Huntington disease
51606	ATP6V1H	hsa00190	Oxidative phosphorylation
51606	ATP6V1H	hsa01100	Metabolic pathways
51606	ATP6V1H	hsa04142	Lysosome
51606	ATP6V1H	hsa04145	Phagosome
51606	ATP6V1H	hsa04150	mTOR signaling pathway
51606	ATP6V1H	hsa04721	Synaptic vesicle cycle
51606	ATP6V1H	hsa05110	Vibrio cholerae infection
